#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
8673741|2016-10-26T20:56:45.590000|43.0088|13.1168|9.2|SURVEY-INGV||||ML|2.7|--|Macerata
8673841|2016-10-26T20:58:20.250000|42.876|13.0812|8.4|SURVEY-INGV||||ML|2.7|--|Perugia
8673931|2016-10-26T21:00:46.920000|42.9227|13.1147|9.0|SURVEY-INGV||||ML|3.1|--|Macerata
8674101|2016-10-26T21:04:55.970000|42.8822|13.119|9.4|SURVEY-INGV||||ML|2.5|--|Macerata
8674271|2016-10-26T21:08:35.130000|43.0027|13.1113|8.0|SURVEY-INGV||||ML|2.9|--|Macerata
8674401|2016-10-26T21:09:58.480000|43.0647|13.0687|10.6|SURVEY-INGV||||ML|2.6|--|Macerata
8674561|2016-10-26T21:12:05.050000|42.8998|13.0342|10.0|SURVEY-INGV||||ML|2.4|--|Perugia
8674851|2016-10-26T21:16:04.560000|42.9152|13.045|11.2|SURVEY-INGV||||ML|2.6|--|Macerata
8674941|2016-10-26T21:19:38.340000|43.0103|13.0637|8.4|SURVEY-INGV||||ML|2.5|--|Macerata
8675161|2016-10-26T21:23:00.250000|42.9187|13.1063|8.2|SURVEY-INGV||||ML|2.8|--|Macerata
8675281|2016-10-26T21:24:51.740000|42.8673|13.0783|9.0|SURVEY-INGV||||ML|3.7|--|Perugia
8675571|2016-10-26T21:30:19.470000|43.0172|13.0732|9.8|SURVEY-INGV||||ML|2.8|--|Macerata
8675761|2016-10-26T21:33:13.190000|42.8168|13.2548|9.6|SURVEY-INGV||||ML|3.0|--|Ascoli Piceno
8675821|2016-10-26T21:34:40.030000|43.0377|13.0848|10.8|SURVEY-INGV||||ML|2.1|--|Macerata
8676101|2016-10-26T21:39:30.140000|42.9752|13.1328|8.8|SURVEY-INGV||||ML|2.8|--|Macerata
8676191|2016-10-26T21:42:01.950000|42.8612|13.1283|9.5|SURVEY-INGV||||Mw|4.5|--|Macerata
8676291|2016-10-26T21:45:45.250000|42.8478|13.1537|8.7|SURVEY-INGV||||ML|3.0|--|Macerata
8676371|2016-10-26T21:47:47.820000|42.8923|13.1335|8.2|SURVEY-INGV||||ML|2.4|--|Macerata
8676421|2016-10-26T21:48:57.710000|42.8092|13.1087|10.3|SURVEY-INGV||||ML|2.9|--|Perugia
8676471|2016-10-26T21:49:36.140000|42.9707|13.0595|11.0|SURVEY-INGV||||ML|2.9|--|Macerata
8676531|2016-10-26T21:52:52.000000|42.861|13.2088|8.6|SURVEY-INGV||||ML|3.3|--|Macerata
